年份,地区,国家,对外直接投资:截至累计
2018,亚洲,卡塔尔,435.98
2018,亚洲,科威特,1091.84
2018,亚洲,老挝,8309.76
2018,亚洲,黎巴嫩,2.22
2018,亚洲,马尔代夫,74.77
2018,亚洲,马来西亚,8387.24
2018,亚洲,蒙古,3365.07
2018,亚洲,孟加拉国,870.23
2018,亚洲,缅甸,4680.06
2018,亚洲,尼泊尔,379.19
2018,亚洲,日本,3490.52481389
2018,亚洲,塞浦路斯,845.43
2018,亚洲,沙特阿拉伯,2594.56
2018,亚洲,斯里兰卡,468.93
2018,亚洲,塔吉克,1944.83
2018,亚洲,台湾省,1351.57
2018,亚洲,泰国,5946.6952512
2018,亚洲,土耳其,1733.68
2018,亚洲,土库曼,311.93
2018,亚洲,文莱,220.45
2018,亚洲,乌兹别克,3689.88
2018,亚洲,香港特别行政区 (中国),1100391.07709752
2018,亚洲,新加坡,50093.8296221
2018,亚洲,叙利亚,0.87
2018,亚洲,也门共和国,623
2018,亚洲,伊拉克,598.54
2018,亚洲,伊朗,3234.29
2018,亚洲,以色列,4619.98
2018,亚洲,印度,4662.797367
2018,亚洲,印度尼西亚,12811.28456624
2018,亚洲,约旦,141.98
2018,亚洲,越南,5605.43276923
2019,北美洲,百慕大群岛,8336.57
2019,北美洲,加拿大,14091.46857869
2019,北美洲,美国,77797.4951667
2019,大洋洲,澳大利亚,38068.38275147
2019,大洋洲,巴布亚新几内亚,1923.36
2019,大洋洲,斐济,195.47
2019,大洋洲,基里巴斯,18.35
2019,大洋洲,库克群岛,0.07
2019,大洋洲,马绍尔群岛共和国,96.82
2019,大洋洲,密克罗尼西亚联邦,15.06
2019,大洋洲,帕劳共和国,18.81
2019,大洋洲,萨摩亚,683.81
2019,大洋洲,所罗门群岛,0.1
2019,大洋洲,汤加,10.01
2019,大洋洲,瓦努阿图,122.47
2019,大洋洲,新西兰,2459.73202172
2019,非洲,阿尔及利亚,1775.3496
2019,非洲,埃及,1085.8
2019,非洲,埃塞俄比亚,2558.87
2019,非洲,安哥拉,2890.73
2019,非洲,贝宁,91.44
2019,非洲,博茨瓦纳,186.28
2019,非洲,布基纳法索,1.49
